cFECHAINI,CELULAR,cbstart,cbend,cFECHAFIN
27/06/2023 08:18,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,29,27/06/2023 08:18
27/06/2023 08:18,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,29,27/06/2023 08:18
27/06/2023 08:18,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,29,27/06/2023 08:18
27/06/2023 08:18,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,29,27/06/2023 08:18
27/06/2023 08:36,11c8011f-41cb-49d7-bf2f-d277977d01a1,28,41,27/06/2023 09:03
27/06/2023 08:36,11c8011f-41cb-49d7-bf2f-d277977d01a1,28,41,27/06/2023 09:03
27/06/2023 08:36,11c8011f-41cb-49d7-bf2f-d277977d01a1,28,41,27/06/2023 09:03
27/06/2023 08:36,11c8011f-41cb-49d7-bf2f-d277977d01a1,28,41,27/06/2023 09:03
27/06/2023 09:03,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,96,27/06/2023 10:28
27/06/2023 09:03,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,96,27/06/2023 10:28
27/06/2023 09:03,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,96,27/06/2023 10:28
27/06/2023 09:03,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,96,27/06/2023 10:28
28/06/2023 09:45,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,48,28/06/2023 10:14
28/06/2023 09:45,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,48,28/06/2023 10:14
28/06/2023 09:45,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,48,28/06/2023 10:14
28/06/2023 09:45,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,48,28/06/2023 10:14
28/06/2023 11:33,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,41,28/06/2023 11:33
28/06/2023 11:33,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,41,28/06/2023 11:33
28/06/2023 11:33,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,41,28/06/2023 11:33
28/06/2023 11:33,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,41,28/06/2023 11:33
28/06/2023 12:06,11c8011f-41cb-49d7-bf2f-d277977d01a1,31,38,28/06/2023 12:18
28/06/2023 12:06,11c8011f-41cb-49d7-bf2f-d277977d01a1,31,38,28/06/2023 12:18
28/06/2023 12:06,11c8011f-41cb-49d7-bf2f-d277977d01a1,31,38,28/06/2023 12:18
28/06/2023 12:06,11c8011f-41cb-49d7-bf2f-d277977d01a1,31,38,28/06/2023 12:18
28/06/2023 13:32,11c8011f-41cb-49d7-bf2f-d277977d01a1,25,37,28/06/2023 13:51
28/06/2023 13:32,11c8011f-41cb-49d7-bf2f-d277977d01a1,25,37,28/06/2023 13:51
28/06/2023 13:32,11c8011f-41cb-49d7-bf2f-d277977d01a1,25,37,28/06/2023 13:51
28/06/2023 13:32,11c8011f-41cb-49d7-bf2f-d277977d01a1,25,37,28/06/2023 13:51
28/06/2023 15:08,11c8011f-41cb-49d7-bf2f-d277977d01a1,17,34,28/06/2023 15:29
28/06/2023 15:08,11c8011f-41cb-49d7-bf2f-d277977d01a1,17,34,28/06/2023 15:29
28/06/2023 15:08,11c8011f-41cb-49d7-bf2f-d277977d01a1,17,34,28/06/2023 15:29
28/06/2023 15:08,11c8011f-41cb-49d7-bf2f-d277977d01a1,17,34,28/06/2023 15:29
28/06/2023 23:09,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,9,28/06/2023 23:27
28/06/2023 23:09,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,9,28/06/2023 23:27
28/06/2023 23:09,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,9,28/06/2023 23:27
28/06/2023 23:09,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,9,28/06/2023 23:27
28/06/2023 23:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,28/06/2023 23:27
28/06/2023 23:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,28/06/2023 23:27
28/06/2023 23:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,28/06/2023 23:27
28/06/2023 23:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,28/06/2023 23:27
